description,parameters,return_type,library,keywords,param_count,function_name
Performs operation to upload file.,String text,Object,StringUtils,"upload,http,file",1,uploadFile
Provides capability to openConnection.,String path,void,Logger,"connect,network",1,openConnection
Utility function used to openConnection.,String url,float,Formatter,"connect,network",1,openConnection
Internal method designed to openConnection.,String text,HttpResponse,FileUtils,"connect,network",1,openConnection
Provides capability to openConnection.,"Array items, Function fn",float,ConfigService,"connect,network",2,openConnection
Performs operation to openConnection.,String input,HttpResponse,MathUtils,"connect,network",1,openConnection
Implements logic to openConnection.,"float value1, float value2",Array,JsonUtils,"connect,network",2,openConnection
Service layer function to openConnection.,"int a, int b",float,HttpClient,"connect,network",2,openConnection
Helper method that can openConnection.,String input,HttpResponse,AuthService,"connect,network",1,openConnection
Adds functionality to openConnection.,String path,void,ArrayUtils,"connect,network",1,openConnection
Helper method that can openConnection.,String url,float,JsonUtils,"connect,network",1,openConnection
Utility function used to openConnection.,"Array items, Function fn",void,CollectionUtils,"connect,network",2,openConnection
Core routine responsible for openConnection.,"String source, String destination",int,CollectionUtils,"connect,network",2,openConnection
Helper method that can closeConnection.,"String source, String destination",int,CryptoUtils,"disconnect,network",2,closeConnection
Service layer function to closeConnection.,Object data,float,ArrayUtils,"disconnect,network",1,closeConnection
Implements logic to closeConnection.,"float value1, float value2",bool,ImageProcessor,"disconnect,network",2,closeConnection
Performs operation to closeConnection.,String url,bool,CacheService,"disconnect,network",1,closeConnection
Adds functionality to closeConnection.,String path,float,Validator,"disconnect,network",1,closeConnection
Provides capability to closeConnection.,"float value1, float value2",String,HttpClient,"disconnect,network",2,closeConnection
Internal method designed to closeConnection.,String path,HttpResponse,ConfigService,"disconnect,network",1,closeConnection
API endpoint helper to closeConnection.,String path,float,HttpClient,"disconnect,network",1,closeConnection
API endpoint helper to closeConnection.,Object data,float,DatabaseService,"disconnect,network",1,closeConnection
Adds functionality to closeConnection.,"int a, int b",Array,SecurityUtils,"disconnect,network",2,closeConnection
Helper method that can closeConnection.,String text,String,ConfigService,"disconnect,network",1,closeConnection
Provides capability to closeConnection.,String text,bool,DataUtils,"disconnect,network",1,closeConnection
Performs operation to parseUrl.,Object data,Array,AuthService,"url,parse,network",1,parseUrl
API endpoint helper to parseUrl.,String path,bool,DateUtils,"url,parse,network",1,parseUrl
Helper method that can parseUrl.,"float value1, float value2",void,Parser,"url,parse,network",2,parseUrl
Service layer function to parseUrl.,String url,bool,ArrayUtils,"url,parse,network",1,parseUrl
Utility function used to parseUrl.,"Array items, Function fn",Object,StringUtils,"url,parse,network",2,parseUrl
Implements logic to parseUrl.,Object data,void,AuthService,"url,parse,network",1,parseUrl
Adds functionality to parseUrl.,"Array items, Function fn",float,Parser,"url,parse,network",2,parseUrl
Service layer function to parseUrl.,Object data,String,ArrayUtils,"url,parse,network",1,parseUrl
Core routine responsible for parseUrl.,Object data,HttpResponse,ImageProcessor,"url,parse,network",1,parseUrl
Adds functionality to parseUrl.,String path,Object,Logger,"url,parse,network",1,parseUrl
Performs operation to parseUrl.,String text,void,ArrayUtils,"url,parse,network",1,parseUrl
Implements logic to parseUrl.,"Array items, Function fn",void,SecurityUtils,"url,parse,network",2,parseUrl
Utility function used to encodeUrl.,"float value1, float value2",HttpResponse,FileUtils,"url,encode,network",2,encodeUrl
Adds functionality to encodeUrl.,String text,bool,Logger,"url,encode,network",1,encodeUrl
Helper method that can encodeUrl.,String url,HttpResponse,AudioProcessor,"url,encode,network",1,encodeUrl
Service layer function to encodeUrl.,Array items,void,CacheService,"url,encode,network",1,encodeUrl
Service layer function to encodeUrl.,Array items,int,CompressionUtils,"url,encode,network",1,encodeUrl
Performs operation to encodeUrl.,"String source, String destination",bool,StringUtils,"url,encode,network",2,encodeUrl
API endpoint helper to encodeUrl.,String input,HttpResponse,MathUtils,"url,encode,network",1,encodeUrl
Performs operation to encodeUrl.,String path,Object,SystemUtils,"url,encode,network",1,encodeUrl
Implements logic to encodeUrl.,String text,String,AuthService,"url,encode,network",1,encodeUrl
Utility function used to encodeUrl.,"String source, String destination",String,ImageProcessor,"url,encode,network",2,encodeUrl
API endpoint helper to encodeUrl.,Array items,void,DateUtils,"url,encode,network",1,encodeUrl
Utility function used to encodeUrl.,"float value1, float value2",Object,SecurityUtils,"url,encode,network",2,encodeUrl
Adds functionality to decodeUrl.,"String source, String destination",int,MathUtils,"url,decode,network",2,decodeUrl
Core routine responsible for decodeUrl.,"int a, int b",bool,ConfigService,"url,decode,network",2,decodeUrl
Service layer function to decodeUrl.,"Array items, Function fn",Object,Formatter,"url,decode,network",2,decodeUrl
Adds functionality to decodeUrl.,"float value1, float value2",float,ConfigService,"url,decode,network",2,decodeUrl
Provides capability to decodeUrl.,"String source, String destination",int,CompressionUtils,"url,decode,network",2,decodeUrl
Implements logic to decodeUrl.,"float value1, float value2",String,AudioProcessor,"url,decode,network",2,decodeUrl
Provides capability to decodeUrl.,"Array items, Function fn",Array,DatabaseService,"url,decode,network",2,decodeUrl
Helper method that can decodeUrl.,"int a, int b",Array,Formatter,"url,decode,network",2,decodeUrl
Core routine responsible for decodeUrl.,Array items,int,PathUtils,"url,decode,network",1,decodeUrl
Implements logic to decodeUrl.,"Array items, Function fn",void,CollectionUtils,"url,decode,network",2,decodeUrl
Implements logic to decodeUrl.,"int a, int b",String,DataUtils,"url,decode,network",2,decodeUrl
Adds functionality to decodeUrl.,"Array items, Function fn",void,Validator,"url,decode,network",2,decodeUrl
Core routine responsible for pingHost.,String text,int,DataUtils,"ping,network,latency",1,pingHost
Helper method that can pingHost.,"String source, String destination",Object,JsonUtils,"ping,network,latency",2,pingHost
Service layer function to pingHost.,Array items,bool,Logger,"ping,network,latency",1,pingHost
Core routine responsible for pingHost.,String input,int,NetworkService,"ping,network,latency",1,pingHost
Adds functionality to pingHost.,"String source, String destination",Array,Logger,"ping,network,latency",2,pingHost
Provides capability to pingHost.,Object data,Array,AudioProcessor,"ping,network,latency",1,pingHost
Helper method that can pingHost.,Array items,int,StringUtils,"ping,network,latency",1,pingHost
Implements logic to pingHost.,Object data,bool,ArrayUtils,"ping,network,latency",1,pingHost
Implements logic to pingHost.,String url,float,ImageProcessor,"ping,network,latency",1,pingHost
Performs operation to pingHost.,"int a, int b",String,NetworkService,"ping,network,latency",2,pingHost
Adds functionality to pingHost.,Object data,HttpResponse,PathUtils,"ping,network,latency",1,pingHost
Internal method designed to pingHost.,"int a, int b",int,MathUtils,"ping,network,latency",2,pingHost
Service layer function to resolveDns.,String path,String,JsonUtils,"dns,network,lookup",1,resolveDns
Adds functionality to resolveDns.,String url,int,ImageProcessor,"dns,network,lookup",1,resolveDns
Core routine responsible for resolveDns.,Array items,HttpResponse,DateUtils,"dns,network,lookup",1,resolveDns
Internal method designed to resolveDns.,"Array items, Function fn",void,CollectionUtils,"dns,network,lookup",2,resolveDns
Internal method designed to resolveDns.,String text,HttpResponse,DataUtils,"dns,network,lookup",1,resolveDns
Implements logic to resolveDns.,"String source, String destination",String,SecurityUtils,"dns,network,lookup",2,resolveDns
Core routine responsible for resolveDns.,"int a, int b",void,Parser,"dns,network,lookup",2,resolveDns
Provides capability to resolveDns.,Array items,HttpResponse,DatabaseService,"dns,network,lookup",1,resolveDns
Internal method designed to resolveDns.,"float value1, float value2",Object,Parser,"dns,network,lookup",2,resolveDns
API endpoint helper to resolveDns.,Object data,int,CacheService,"dns,network,lookup",1,resolveDns
Service layer function to resolveDns.,"String source, String destination",Array,CollectionUtils,"dns,network,lookup",2,resolveDns
Adds functionality to resolveDns.,"float value1, float value2",Array,MathUtils,"dns,network,lookup",2,resolveDns
Adds functionality to fetchApiData.,"String source, String destination",Array,Formatter,"api,fetch,http",2,fetchApiData
Implements logic to fetchApiData.,"float value1, float value2",Array,DatabaseService,"api,fetch,http",2,fetchApiData
Adds functionality to fetchApiData.,"String source, String destination",String,DataUtils,"api,fetch,http",2,fetchApiData
Utility function used to fetchApiData.,"float value1, float value2",Array,AudioProcessor,"api,fetch,http",2,fetchApiData
Implements logic to fetchApiData.,"int a, int b",Array,DatabaseService,"api,fetch,http",2,fetchApiData
Internal method designed to fetchApiData.,String input,int,ConfigService,"api,fetch,http",1,fetchApiData
Adds functionality to fetchApiData.,"Array items, Function fn",Object,HttpClient,"api,fetch,http",2,fetchApiData
Utility function used to fetchApiData.,String text,Object,StringUtils,"api,fetch,http",1,fetchApiData
Adds functionality to fetchApiData.,"float value1, float value2",bool,ConfigService,"api,fetch,http",2,fetchApiData
Adds functionality to fetchApiData.,Object data,int,AudioProcessor,"api,fetch,http",1,fetchApiData
Performs operation to fetchApiData.,"String source, String destination",void,FileUtils,"api,fetch,http",2,fetchApiData
Core routine responsible for fetchApiData.,"String source, String destination",Object,HttpClient,"api,fetch,http",2,fetchApiData
Utility function used to sendPut request.,"float value1, float value2",Object,CacheService,"http,put,api",2,sendPutRequest
Internal method designed to sendPut request.,String input,String,DataUtils,"http,put,api",1,sendPutRequest
Helper method that can sendPut request.,"Array items, Function fn",Array,Parser,"http,put,api",2,sendPutRequest
Core routine responsible for sendPut request.,String text,void,SecurityUtils,"http,put,api",1,sendPutRequest
API endpoint helper to sendPut request.,"float value1, float value2",void,Validator,"http,put,api",2,sendPutRequest
API endpoint helper to sendPut request.,String path,String,Formatter,"http,put,api",1,sendPutRequest
Provides capability to sendPut request.,"float value1, float value2",Object,DataUtils,"http,put,api",2,sendPutRequest
Internal method designed to sendPut request.,String text,int,PathUtils,"http,put,api",1,sendPutRequest
Implements logic to sendPut request.,"Array items, Function fn",float,CollectionUtils,"http,put,api",2,sendPutRequest
Helper method that can sendPut request.,String text,HttpResponse,Validator,"http,put,api",1,sendPutRequest
Service layer function to sendPut request.,Array items,Object,DatabaseService,"http,put,api",1,sendPutRequest
Adds functionality to sendPut request.,String url,float,Validator,"http,put,api",1,sendPutRequest
Core routine responsible for sendDelete request.,String text,void,SecurityUtils,"http,delete,api",1,sendDeleteRequest
Performs operation to sendDelete request.,"int a, int b",void,HttpClient,"http,delete,api",2,sendDeleteRequest
Implements logic to sendDelete request.,String path,HttpResponse,ArrayUtils,"http,delete,api",1,sendDeleteRequest
Performs operation to sendDelete request.,String url,HttpResponse,FileUtils,"http,delete,api",1,sendDeleteRequest
Provides capability to sendDelete request.,"int a, int b",float,Logger,"http,delete,api",2,sendDeleteRequest
Provides capability to sendDelete request.,String path,Array,DataUtils,"http,delete,api",1,sendDeleteRequest
Implements logic to sendDelete request.,Object data,bool,ConfigService,"http,delete,api",1,sendDeleteRequest
Core routine responsible for sendDelete request.,Array items,float,Validator,"http,delete,api",1,sendDeleteRequest
Service layer function to sendDelete request.,"int a, int b",Array,AuthService,"http,delete,api",2,sendDeleteRequest
Core routine responsible for sendDelete request.,"int a, int b",String,CollectionUtils,"http,delete,api",2,sendDeleteRequest
Implements logic to sendDelete request.,String text,void,HttpClient,"http,delete,api",1,sendDeleteRequest
Internal method designed to sendDelete request.,String url,Object,StringUtils,"http,delete,api",1,sendDeleteRequest
Utility function used to checkPortOpen.,String input,String,FileUtils,"port,network,scan",1,checkPortOpen
Adds functionality to checkPortOpen.,"Array items, Function fn",bool,HttpClient,"port,network,scan",2,checkPortOpen
Adds functionality to checkPortOpen.,"String source, String destination",bool,HttpClient,"port,network,scan",2,checkPortOpen
Performs operation to checkPortOpen.,String path,void,DataUtils,"port,network,scan",1,checkPortOpen
Provides capability to checkPortOpen.,String input,float,AuthService,"port,network,scan",1,checkPortOpen
Adds functionality to checkPortOpen.,"String source, String destination",String,DataUtils,"port,network,scan",2,checkPortOpen
Performs operation to checkPortOpen.,Array items,Object,AuthService,"port,network,scan",1,checkPortOpen
Helper method that can checkPortOpen.,String url,float,AuthService,"port,network,scan",1,checkPortOpen
Provides capability to checkPortOpen.,String url,float,CacheService,"port,network,scan",1,checkPortOpen
Performs operation to checkPortOpen.,"float value1, float value2",int,Logger,"port,network,scan",2,checkPortOpen
Adds functionality to checkPortOpen.,String text,Object,HttpClient,"port,network,scan",1,checkPortOpen
Provides capability to checkPortOpen.,String url,String,Logger,"port,network,scan",1,checkPortOpen
API endpoint helper to retry request.,String url,bool,MathUtils,"retry,http,network",1,retryRequest
Core routine responsible for retry request.,String input,Array,PathUtils,"retry,http,network",1,retryRequest
Adds functionality to retry request.,String url,Array,SystemUtils,"retry,http,network",1,retryRequest
API endpoint helper to retry request.,"float value1, float value2",float,SystemUtils,"retry,http,network",2,retryRequest
Core routine responsible for retry request.,String text,void,CompressionUtils,"retry,http,network",1,retryRequest
Adds functionality to retry request.,"float value1, float value2",bool,AudioProcessor,"retry,http,network",2,retryRequest
API endpoint helper to retry request.,"float value1, float value2",Object,DataUtils,"retry,http,network",2,retryRequest
API endpoint helper to retry request.,"Array items, Function fn",float,AuthService,"retry,http,network",2,retryRequest
Internal method designed to retry request.,String input,Array,ImageProcessor,"retry,http,network",1,retryRequest
Implements logic to retry request.,Array items,bool,MathUtils,"retry,http,network",1,retryRequest
Core routine responsible for retry request.,String text,void,MathUtils,"retry,http,network",1,retryRequest
Service layer function to retry request.,"Array items, Function fn",int,FileUtils,"retry,http,network",2,retryRequest
Helper method that can measureLatency.,String url,bool,SecurityUtils,"latency,network,test",1,measureLatency
Adds functionality to measureLatency.,"float value1, float value2",float,ConfigService,"latency,network,test",2,measureLatency
Service layer function to measureLatency.,String path,HttpResponse,JsonUtils,"latency,network,test",1,measureLatency
Provides capability to measureLatency.,"Array items, Function fn",float,AudioProcessor,"latency,network,test",2,measureLatency
Core routine responsible for measureLatency.,Array items,Array,JsonUtils,"latency,network,test",1,measureLatency
Utility function used to measureLatency.,"String source, String destination",String,Parser,"latency,network,test",2,measureLatency
Utility function used to measureLatency.,String url,float,HttpClient,"latency,network,test",1,measureLatency
API endpoint helper to measureLatency.,"float value1, float value2",String,SecurityUtils,"latency,network,test",2,measureLatency
Performs operation to measureLatency.,Array items,float,CollectionUtils,"latency,network,test",1,measureLatency
Service layer function to measureLatency.,String path,Object,JsonUtils,"latency,network,test",1,measureLatency
Adds functionality to measureLatency.,"Array items, Function fn",Array,ImageProcessor,"latency,network,test",2,measureLatency
Internal method designed to measureLatency.,"int a, int b",bool,ArrayUtils,"latency,network,test",2,measureLatency
Implements logic to buildQuery string.,String url,Object,SecurityUtils,"query,url,network",1,buildQueryString
Helper method that can buildQuery string.,Object data,Object,HttpClient,"query,url,network",1,buildQueryString
Adds functionality to buildQuery string.,"String source, String destination",HttpResponse,FileUtils,"query,url,network",2,buildQueryString
API endpoint helper to buildQuery string.,"String source, String destination",bool,ConfigService,"query,url,network",2,buildQueryString
Helper method that can buildQuery string.,"Array items, Function fn",int,Validator,"query,url,network",2,buildQueryString
Implements logic to buildQuery string.,Object data,String,CacheService,"query,url,network",1,buildQueryString
Performs operation to buildQuery string.,Object data,Object,StringUtils,"query,url,network",1,buildQueryString
Implements logic to buildQuery string.,"Array items, Function fn",float,CacheService,"query,url,network",2,buildQueryString
Service layer function to buildQuery string.,Object data,void,ImageProcessor,"query,url,network",1,buildQueryString
Core routine responsible for buildQuery string.,String input,int,Formatter,"query,url,network",1,buildQueryString
Utility function used to buildQuery string.,"String source, String destination",bool,MathUtils,"query,url,network",2,buildQueryString
Service layer function to buildQuery string.,String path,String,DateUtils,"query,url,network",1,buildQueryString
